啊	a	ah
问路	wèn lù	ask for directions
问题	wèntí	problem
午餐	wǔ cān	lunch
午睡	wǔ shuì	nap
西北	xī běi	northwest
西餐	xī cān	western food
西方	xī fāng	west
西南	xī nán	southwest
西医	xī yī	western medicine
习惯	xíguàn	habit
洗衣机	xǐ yī jī	washing machine
洗澡	xǐzǎo	take a shower
下（量）	xià	(measure word)
下雪	xià xuě	snow; snowing
下周	xià zhōu	next week
夏天	xià tiān	summer
相同	xiāngtóng	identical
相信	xiāngxìn	believe
响	xiǎng	loud 
想到	xiǎng dào	think of; call to mind; have at heart
想法	xiǎng fǎ	idea; opinion;thought
想起	xiǎng qǐ	remember; recall; think of; call to mind
向	xiàng	towards
相机	xiàng jī	camera
像（动）	xiàng	be like; resemble; look like; such as
小（小王）	xiǎo （ xiǎo wáng ）	prefix (Xiao Wang)
小声	xiǎo shēng	in a low voice; in whispers
小时候	xiǎo shí hou	in one's childhood; when one was young
小说	xiǎoshuō	novel
小心	xiǎoxīn	look out
小组	xiǎo zǔ	group
校园	xiào yuán	campus; schoolyard
校长	xiàozhǎng	principal
笑话	xiàohua	joke
笑话儿	xiào huàr	joke
鞋	xié	shoes
心里	xīn lǐ	in the heart; at heart
心情	xīnqíng	mood
心中	xīn zhōng	in the heart; at heart; in mind
新闻	xīnwén	news
信（名）	xìn	letter; mail; faith
信号	xìnhào	signal
信息	xìnxī	information
信心	xìnxīn	confidence
信用卡	xìnyòngkǎ	credit card
星星	xīng xing	star
行动	xíngdòng	get some action
行人	xíngrén	pedestrian
行为	xíngwéi	behavior
姓	xìng	surname
姓名	xìng míng	full name
休假	xiū jià	have a holiday; take a vacation; be on furlough
许多	xǔduō	many
选	xuǎn	choose; select; pick
学期	xuéqī	semester
雪	xuě	snow
颜色	yánsè	color
眼	yǎn	eye
眼睛	yǎnjing	eye
养	yǎng	raise; keep; support; cultivate
样子	yàngzi	a look
要求	yāoqiú	requirement
药	yào	drug
药店	yào diàn	pharmacy
药片	yào piàn	pill
药水	yào shuǐ	liquid medicine; potion
也许	yěxǔ	perhaps
夜	yè	night
夜里	yè lǐ	at night
一部分	yí bù fèn	a part; a portion
一定	yídìng	certain
一共	yígòng	altogether
一会儿（副）	yí huìr	awhile; in a moment; presently
一路平安	yí lù píng ān	safe journey; have a pleasant journey
一路顺风	yí lù shùn fēng	bon voyage
已经	yǐjīng	already
以后	yǐ hòu	after; later on; afterwards; later
以前	yǐqián	before
以上	yǐ shàng	above; over
以外	yǐ wài	beyond; outside; other than; except
以为	yǐwéi	think
以下	yǐ xià	below; under
椅子	yǐzi	chair
一般	yìbān	commonly
一点点	yì diǎn diǎn	a little bit
一生	yì shēng	lifetime; all one's life
一直	yìzhí	always
亿	yì	100 million
意见	yìjiàn	opinion
意思	yìsi	meaning
因为	yīn wèi	because
阴	yīn	yin
阴天	yīn tiān	cloudy day; overcast sky
音节	yīn jié	syllable
音乐	yīnyuè	music
音乐会	yīn yuè huì	concert
银行	yínháng	bank
银行卡	yín háng kǎ	bank card
应该	yīnggāi	should
英文	yīng wén	English
英语	yīng yǔ	English
影片	yǐng piàn	film; movie
影响	yǐngxiǎng	influence
永远	yǒngyuǎn	forever
油	yóu	oil; fat; grease
游客	yóu kè	tourist; visitor
友好	yǒuhǎo	friendly
有空儿	yǒu kòngr	be free; at leisure
有人	yǒu rén	someone; there's someone
有（一）点儿	yǒu （ yì ） diǎnr	a little bit
有意思	yǒu yì si	interesting; significant
又	yòu	also
鱼	yú	fish
语言	yǔyán	language
原来	yuánlái	original; formerly
原因	yuányīn	reason
院	yuàn	yard; compound; courtyard; college
院长	yuàn zhǎng	dean
院子	yuàn zi	courtyard; yard
愿意	yuànyì	be willing
月份	yuè fèn	month
月亮	yuèliang	moon
越	yuè	the more
越来越	yuè lái yuè	more and more
云	yún	cloud
运动	yùndòng	motion
咱	zán	we; us
咱们	zánmen	we
脏	zāng	dirty
早餐	zǎo cān	breakfast
早晨	zǎo chén	morning
早就	zǎo jiù	long since
怎么办	zěn me bàn	how to; what to do
怎么样	zěnmeyàng	how about
怎样	zěn yàng	how
占	zhàn	occupy
站（动）	zhàn	stand; stop; halt
站住	zhàn zhù	stop; halt
长	zhǎng	grow
长大	zhǎng dà	grow up
找出	zhǎo chū	find out
照顾	zhàogù	look after
照片	zhàopiàn	photo
照相	zhào xiàng	take a picture; take a photograph
这么	zhè me	so; such; this way; like this
这时候	zhè shí hou	at this moment; at this time
这样	zhè yàng	so; such; like this; this way
真正	zhēnzhèng	real
正常	zhèngcháng	normal
正好	zhènghǎo	just right
正确	zhèngquè	correct
正是	zhèng shì	exactly
直接	zhíjiē	direct
只	zhǐ	only; just; simply; merely
只能	zhǐ néng	can only
